"Data Source","World Development Indicators",

"Last Updated Date","2015-07-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Belgium","BEL","GDP (current US$)","NY.GDP.MKTP.CD","11658722590.99","12400145221.595","13264015675.3193","14260017387.0492","15960106680.6732","17371457607.9374","18651883472.4808","19992040788.4593","21376353113.475","23710735894.7022","26807906413.8766","29935284927.2264","37351205205.7557","47925688263.2995","56246582435.7912","65928375562.1367","71384848484.8485","83155543050.0844","101632253106.187","116758530544.854","127312456890.606","105128965667.101","92446759668.0205","87516370808.6785","83667062273.1081","86596915551.3282","120475979772.44","149963587250.135","162917388919.364","164846642096.642","206113954611.299","211312935617.247","235676160602.258","225577891791.045","245817096696.407","289122879036.672","280790879478.827","254099007668.02","259822182707.268","259666524611.123","237336465819.053","237397762863.535","258389798607.19","318573363431.151","370445741246.586","386954358910.583","410698783088.697","472309061045.716","520090815878.131","485833564879.133","484433112582.781","528099805393.383","498746230593.886","524778837629.771","533382785676.064",
"Benin","BEN","GDP (current US$)","NY.GDP.MKTP.CD","226195578.065492","235668220.87334","236434954.337724","253927697.568961","269819005.790045","289908680.177964","302925235.694523","306221953.366319","326323105.581111","330748244.094268","333627713.458227","335073027.9184","410331856.242282","504376074.072564","554654861.532123","676870139.267698","698408261.133077","750049780.153462","928843468.485002","1186231018.37056","1405251843.8135","1291120190.56919","1267778671.51644","1095348199.38162","1051134009.29496","1045712789.82384","1336102027.0138","1562412225.82108","1620246084.77395","1502294413.86375","1959965330.50759","1986437797.86841","1695315185.7913","2274558078.74501","1598075944.84638","2169627138.35536","2361116448.14687","2268301645.10687","2455092688.13657","2488892429.48399","2359122302.6985","2499269391.07587","2807657386.40103","3557229701.87179","4050869967.91676","4358015992.82041","4705087452.18949","5511880905.92097","6633463906.72718","6584477484.64201","6561782312.65","7289779658.43913","7543183758.90272","8307221457.56327","8746992733.49967",
"Burkina Faso","BFA","GDP (current US$)","NY.GDP.MKTP.CD","330442817.168859","350247237.11684","379567178.256898","394040749.12567","410321785.631059","422916848.424208","433889831.584706","450753993.176448","460442864.205949","478298781.545658","458404330.125096","482411278.982439","578595583.975723","674773821.151416","751133642.647461","939972703.463021","976547572.215824","1131225278.77773","1475584037.28156","1748480982.18517","1928720390.28869","1775842679.94056","1754450379.2077","1600278756.43589","1459880352.6483","1552493413.98989","2036303381.20142","2369835438.62393","2616040645.87263","2615588545.68629","3101301780.95067","3135045684.1006","2240264711.54816","2332018010.55341","1895290964.80829","2379518099.2266","2586550747.09844","2447669403.89018","2804902723.73145","3014665728.76264","2632700362.73684","2812845513.57125","3205592289.79773","4205691222.11396","4838551099.70985","5462709498.45119","5844669845.53733","6771277870.96412","8369637065.40255","8369175126.25316","8979966766.07232","10724061338.5874","11166061507.8024","12126322793.4985","12542969275.204",
"Bangladesh","BGD","GDP (current US$)","NY.GDP.MKTP.CD","4274893914.11878","4817580184.30412","5081413340.52739","5319458351.93811","5386054620.13534","5906636557.8623","6439687599.26237","7253575400.37931","7483685474.60412","8471006102.18934","8992721810.70476","8751842841.07289","6288245866.66667","8067027098.36729","12459282562.5","19395903918.0274","10083163545.7451","9632469658.06452","13299358552.7314","15585961411.9298","18114645161.2903","20299387449.542","18562450000","17579454342.8733","18996827599.1484","22278423076.9231","21846856464.9433","24615653289.0867","26579005762.8191","27828101772.6097","31218783739.244","30957483290.2076","31708873954.3431","33166520084.2824","33768662171.4091","37939748051.9207","46438482370.3942","48244308274.8086","49984559471.3656","51270569883.5275","53369787318.6245","53991289844.3291","54724081490.5102","60158929188.2556","65108544250.0425","69442943089.4309","71819083683.7403","79611888213.148","91631278239.3237","102477791472.39","115279077465.226","128637938711.386","133355749482.478","149990451022.29","173818932215.65",
"Bulgaria","BGR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","20039627039.627","20056236481.615","19804095563.1399","16959385665.529","17411159978.0099","17562122844.8276","20261212477.9282","28429027237.3541","23002459508.0984","21746813186.8132","20726301369.863","10943548387.0968","10371900826.4463","10831998208.3172","9704878270.8034","13069095617.8448","10110256626.4722","11195830236.5819","14631307232.6115","13659823859.9893","13353530538.0878","14303810794.543","16343311506.9812","21101364344.6644","25919754936.1945","29299967875.0211","33649637657.9234","43637701889.4332","53316403410.3657","50161403995.166","48669060511.7098","55765057234.2695","52591569645.2037","54479873099.8914","55734676434.6764",
"Bahrain","BHR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","3072698409.99465","3467819241.16541","3645744777.81236","3735106482.31666","3905585210.25493","3651861799.25164","3052393698.20196","3392021100.85163","3702393715.48919","3863563932.54159","4229787346.5369","4616223527.02722","4751063956.14532","5200266095.75176","5567553605.52004","5849467974.71989","6101861598.45377","6349202562.47879","6183941062.26229","6621186467.7252","9063147956.06266","8976446448.04383","9632411234.34134","11075116625.4422","13150516503.0985","15968726861.7021","18505053191.4894","21730000000","25710877659.5745","22938218085.1064","25713271276.5957","29044069148.9362","30756462765.9574","32897606382.9787","33868989361.7021",
"Bahamas, The","BHS","GDP (current US$)","NY.GDP.MKTP.CD","169802258.505331","190096177.391361","212252823.131664","237742769.558561","266664054.92754","300392162.752788","340000006.666667","390196086.082276","444901969.507882","528137265.257593","538423169.813069","573400000","590900000","670900000","632400000","596200000","642100000","713000000","832400000","1139800100","1335300000","1426500000","1578300000","1732800000","2041100000","2320699900","2472500000","2713999900","2817900000","3062000000","3166000000","3111160000","3109000000","3092000000","3259000000","3429000000","3609000000","4961119000","5353524000","6019972000","6327552000","6516651000","6957996000","6949317000","7094413000","7706222000","7965588000","8318996000","8246650000","7820420000","7909580000","7889750000","8234470000","8431750000","8510500000",
"Bosnia and Herzegovina","BIH","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1255802465.43943","1866572973.11395","2786045391.91109","3671816537.75935","4116699576.17583","4685729738.56209","5505984455.95855","5748990554.79945","6651226179.01829","8370020196.19158","10022840634.9206","10903626824.2505","12550175101.0198","15441062281.3156","18711890353.5051","17264893103.2034","16847493058.8474","18318439121.4727","16906005781.1063","17851326454.4159","18344278252.6116",
"Belarus","BLR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17369598958.1159","17813389815.004","17022180272.211","16280372553.0518","14931599418.4226","13972637603.2102","14756861538.4615","14128412417.193","15222014828.3039","12138485328.6267","12736856485.1068","12354820143.8849","14594925392.9691","17825436034.5366","23141587717.7633","30210091836.8294","36961821893.6976","45275747860.6442","60752177438.8895","49208656976.0389","55220932613.958","59734593904.6402","63615445566.8483","73097619636.8209","76139250364.5185",
"Belize","BLZ","GDP (current US$)","NY.GDP.MKTP.CD","28072479.8410461","29965001.852797","31857593.8646223","33750115.8763732","36194588.4748475","40069931.4709766","44405595.9582376","47379308.7110583","44910180.7164115","47305390.3546201","53233534.2091865","59207317.434191","66062499.1742188","78343558.2822086","103216371.854588","118066302.256342","96905828.727302","117650000","136300000","151800000","194750000","192900000","179250000","189000000","210900000","209150000","227850000","276550000","314900000","363150000","413050000","444720750","518143700","559759650","580760200","620031750","641271350","654198100","688872450","732608000","831750000","871840750","932676400","990350000","1057850000","1114202700","1217442150","1290542550","1368625150","1336957250","1397113450","1487005600","1573867300","1624294250","",
"Bermuda","BMU","GDP (current US$)","NY.GDP.MKTP.CD","84466654.0801544","89249986.7007156","94149985.9705588","96366652.3069165","107566650.637987","114339048.962736","134173373.782802","155102984.621576","150000000","164900000","186300000","211100000","235400000","269500000","312600000","345000000","386300000","447000000","475800000","517200000","613299968","739100032","785500032","889400000","985699968","1039500032","1173500032","1296499968","1415100032","1501500032","1592400000","1634899968","1679900032","1820359936","1867160064","2030749952","2695390000","2932827000","3130748000","3324433000","3480219000","3680483000","3937228000","4186525000","4484703000","4868136000","5414299000","5895048000","6109928000","5806378000","5744414000","5550771000","5537537000","5573710000","",
"Bolivia","BOL","GDP (current US$)","NY.GDP.MKTP.CD","563110051.920733","612518906.826491","669722541.277818","721142957.311474","812543072.505384","908874537.037037","994044553.872054","1084059814.81481","908874537.037037","964615698.653199","1017171717.17172","1095454545.45455","1257615644.97932","1263018490.75462","2100249875.06247","2404697651.17441","2732083958.02099","3227436281.85907","3758220889.55522","4421343606.18135","4537487842.57749","5891606676.18271","5594118400.16731","5422656261.71049","6169481549.37482","5377277406.71638","3959379487.6064","4347956298.51327","4597615562.66594","4715978868.21613","4867582620.20708","5343259388.76337","5643864407.82255","5734703452.22129","5981218996.99601","6715164550.84431","7396952081.04662","7925733785.53783","8497499333.04659","8285061618.15839","8397858184.79382","8141513292.12402","7905485216.17852","8082396525.99433","8773451738.91129","9549122263.80592","11451869164.7112","13120183156.7149","16674324634.2373","17339992165.2422","19649631308.1648","23948541156.1194","27035110130.246","30601157742.4023","34175832127.3517",
"Brazil","BRA","GDP (current US$)","NY.GDP.MKTP.CD","15165569912.5199","15236854859.469","19926293839.0163","23021477292.2093","21211892259.9904","21790035102.382","27062716510.5085","30591834045.3823","33875881906.0553","37458898265.2258","42327600115.9852","49204456711.657","58539008795.7658","79279057736.1044","105136007544.771","123709376566.885","152678020453.114","176171284305.289","200800891871.957","224969488839.356","235024598984.118","263561088975.615","281682304160.256","203304515490.695","209023912696.764","222942790435.318","268137224729.724","294084112392.657","330397381998.489","425595310000","461951782000","407337837837.838","390566571202.242","438299491344.145","558111997497.263","785671965649.402","853504128942.394","886336818826.114","866842105716.676","601894052733.928","657216179283.957","559611852733.611","508779896959.978","559008449788.755","669642735042.735","892106837571.518","1107788560326.9","1395967936923.6","1694615814998.97","1664562923508.27","2209399719721.17","2615189973180.52","2413174312396.53","2392094501287.2","2346118175194.26",
"Barbados","BRB","GDP (current US$)","NY.GDP.MKTP.CD","87383113.7082563","93216432.3803695","96949756.330522","109083059.168518","108383060.927864","114683045.097089","123608022.665682","137103729.870016","137300000","154400000","181500000","204010328.888222","233383639.978896","284759098.097978","340492903.658634","402158285.756234","435871861.918538","495116619.265309","552876225.283913","670312672.251523","860438453.32038","946949724.873939","989409791.650169","1050464828.03944","1144931025.91334","1198180245.50696","1315567052.9401","1448665027.59519","1540893882.55387","1703922714.56329","2023318164.38209","2007109742.66963","1950900000","2046188943.48556","2151295089.19152","2261969772.41831","2411872813.71606","2549296364.67692","2874459180.62627","3012031888.84215","3119500000","3112350000","3168600000","3271200000","3509700000","3891500000","4303500000","4546000000","4595000000","4602000000","4445500000","4358000000","4313000000","4281000000","4348000000",
"Brunei Darussalam","BRN","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","114040245.655299","132758395.400497","139030445.576898","160819286.554292","161211289.690318","179080099.307461","197523179.241883","270818555.823521","433092003.579273","1073577085.64159","1168304305.65513","1423061356.64562","1732721160.94122","1941600703.60598","2803780005.51826","4928824957.9675","4366213849.57637","4264252336.4486","3844723142.45149","3782523088.4628","3523612563.06532","2358592817.12134","2754463437.79677","2690717551.18267","2985467979.28524","3520551724.13793","3701667052.55846","4183548189.07305","4105706151.75145","4087337959.93191","4734020036.68689","5115602836.87943","5197332974.13793","4051147227.53346","4600000000","6001153306.2645","5601090584.36122","5843329107.56171","6557333084.60567","7872333215.00414","9531417164.46943","11470462388.7523","12247680675.7171","14393437576.4002","10732593023.9128","12370530143.806","16691360424.9044","16953952577.9097","16111135785.8788","17256754269.1545",
"Bhutan","BTN","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","135653295.165394","146391639.722864","148934334.038055","165585940.594059","169264991.197183","172217502.021019","201375725.614592","253182453.703704","283855833.333333","275949889.09427","299787275.842376","250045839.929639","250794359.567901","235239570.350935","270801565.189672","303053462.843047","316420860.852385","365964500.137703","376955087.251575","419035810.496981","439158233.199822","476360697.181606","537050133.717342","622026107.771576","702682018.976169","818869609.336513","897731524.929922","1196091805.02316","1258332337.28382","1264758197.96593","1585472534.10547","1820207625.80217","1823692109.61652","1781261412.5445","1821412872.84144",
"Botswana","BWA","GDP (current US$)","NY.GDP.MKTP.CD","30411418.7713109","32902592.610067","35644932.1556269","38091832.7364426","41616368.0981749","45788670.7660556","51465624.5263576","58642385.167152","66248426.634735","77361532.5009028","96243298.1443455","126954476.753209","165253184.195477","244124114.803366","306044207.530203","355168715.619864","372025093.006273","451624957.285662","590407374.447116","819870590.752343","1060889703.75374","1073812406.80106","1014945863.28976","1172230578.25159","1240821852.06315","1114783536.07445","1392602037.55415","1965227089.03327","2644554881.84186","3083822372.20855","3790636670.81701","3942877347.08916","4146464586.61674","4160129174.70569","4259258810.89328","4730599685.05162","4847757699.00522","5020265172.87276","4790481509.17679","5484263050.39562","5788311649.03105","5489646897.86313","5438856513.6681","7511538757.32361","8957491775.65499","9931223498.32788","10089153102.8338","10939062373.7538","10945056877.9387","10267108398.2055","12786670174.8705","15682932628.4695","14792390177.3175","14979306813.9875","15813371063.1566",
"Central African Republic","CAF","GDP (current US$)","NY.GDP.MKTP.CD","112155598.424137","123134583.702686","124482774.155572","129379123.792932","142025078.771562","150574795.28224","157930018.375448","163820513.701425","191767441.663587","188039209.876317","189106529.232059","201450800.155415","230317882.787365","271183082.197963","281398705.922214","378660015.774664","451152460.825277","507298148.292476","610578631.218134","700764746.929727","797048197.065069","694803623.872112","748312391.344694","658679332.649258","637820670.572429","864849836.841362","1122265014.86379","1200991976.20365","1264899288.27967","1233930279.03002","1440711459.411","1377374987.52052","1411917554.45482","1278781259.30117","851174357.309582","1115389673.9125","1007791126.56226","937741512.447574","967338390.360019","999477458.730474","914500331.983723","931833293.75345","991387865.044932","1139754771.91102","1270080228.23241","1350300947.46755","1473721547.79752","1698125617.92304","1985370057.92473","1981728140.77833","1986014845.63184","2195599556.73866","2169706564.05899","1544626421.54481","1782927902.67286",
"Canada","CAN","GDP (current US$)","NY.GDP.MKTP.CD","41093453544.9096","40767969453.696","41978852041.4426","44657169109.224","48882938810.2204","53909570342.169","60358632035.1532","64768831262.1761","70759031841.7237","77887510241.7083","87762273901.8088","99120816003.1689","112910597030.003","131121887811.219","160164417177.914","173569307904.05","206261054766.734","211289985895.628","218299991233.453","242701980536.111","273436879917.893","305748602885.979","313453027478.317","340318889970.789","353887730677.168","362960087879.897","375653832313.782","429021116138.763","506017713496.384","563639358108.108","592014912581.419","608258706467.662","590148092992.471","574833733819.084","575998828353.837","602021276595.745","626950495049.505","651001011122.346","631432423323.222","674325233896.48","739455928893.677","732716942148.76","752531702032.754","887751766469.203","1018401229823.21","1164144248225.78","1310752820874.47","1457871706545.01","1542618556701.03","1370839821537.92","1614013783731.31","1788796361798.89","1832715597431.65","1838964175409.41","1786655064509.53",
"Central Europe and the Baltics","CEB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","256867670829.297","243313423105.661","260667862111.747","274897194370.49","311790688710.556","384754573243.979","411710134967.775","409121766111.138","448947176128.493","434680888952.449","430738958722.889","471906888680.18","530279051949.334","634896221291.928","760721550752.252","882425853631.287","998326529153.002","1257554790612.23","1513202798121.21","1270825607187.4","1303845150095.82","1435103550652.05","1341295393031.08","1418166369460.06","1457835195256.48",
"Switzerland","CHE","GDP (current US$)","NY.GDP.MKTP.CD","9522746719.21614","10712712465.0522","11879982758.5619","13063643795.7884","14480556571.5476","15346741669.7575","16480058704.8531","17740013179.26","18942729779.1","20524886616.4789","","","","","","","","","","","118710330011.339","108721056918.847","111431758853.371","111035586680.006","106019108822.403","107496235399.455","154095502807.271","192981625536.481","208774003963.644","201572651140.045","257420313849.698","260459902370.99","271133693642.441","263690985381.7","291913796885.282","341758985200.846","329619336569.579","286604010197.754","294977514139.881","289884103315.138","271659699194.694","278628762739.986","301127807006.288","351982624192.47","393541696823.482","407535656922.583","429195565480.938","477407780739.753","551546948573.539","539528260270.196","581211717326.685","696311711711.712","666100605107.064","685434208916.934","",
"Channel Islands","CHI","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5945677376.61477","6262740656.85164","6439703434.71024","6232906290.4851","6663669064.7482","7332244897.95918","8553643354.08275","8827272727.27273","9676172953.08188","11514605842.3369","","","","","","","",
"Chile","CHL","GDP (current US$)","NY.GDP.MKTP.CD","4211762521.8548","4705377499.81869","5502763243.33889","5482749434.20374","5794301526.88849","6053790468.24208","7013580346.15593","6913560997.04789","7074820185.61307","8179771225.72187","8981111663.54259","10694569522.0727","11532517864.1275","16387454416.5288","15535549705.8948","7226476865.17312","9857547848.58237","13359145454.4104","15399431309.6652","20729772210.6846","27572307600.4103","32644872979.6923","24339421605.1856","19770402077.0148","19232737055.4021","16486012247.3704","17722536671.3316","20902096531.6075","24640912615.8116","28385038396.7035","31558927517.2188","36424168146.1543","44467946384.2462","47693992626.8649","55154226759.96","71349202308.6423","75769008174.2547","82808986191.6005","79373597080.1017","72995286764.4168","79328640263.7897","72336972322.3931","70984568428.5785","77840186384.8224","100630707851.859","124404150138.162","154671012210.645","173081277147.793","179626674542.406","171956955710.33","217538271334.673","250832362663.607","265231582107.31","276673695234.284","258061522886.545",
